URL,sales_rank,overall_rating,discount_value,discount_rate,feature1,answered_ques,positive,negative,exchange,emi,No_of_people,customer_reviews,most_helpful,bank_offer,months,5_rating,4_rating,3_rating,2_rating,1_rating,feature2,feature3
https://www.amazon.in/Honor-Blue-4GB-64GB-Storage/dp/B078BNWWFX/ref=sr_1_330?s=electronics&amp;ie=UTF8&amp;qid=1552750526&amp;sr=1-330&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,582,4,3500,23,3.9,677,75,14,1,1,42,6566,5,1,18-Jun-18,46,29,11,4,10,3.8,3.7
https://www.amazon.in/Honor-Blue-3GB-32GB-Storage/dp/B077Q19RF9/ref=sr_1_28?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-28&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,52,4,4500,35,3.9,677,75,9,1,1,42,6566,5,1,10,46,29,11,4,5,3.8,3.7
https://www.amazon.in/InFocus-Vision-Premium-Gold-Storage/dp/B0756Z53JP/ref=sr_1_228?s=electronics&amp;ie=UTF8&amp;qid=1552748147&amp;sr=1-228&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,343,3.5,2500,28,3.7,1000,61,27,1,1,31,6525,3,1,16-Dec-17,39,22,12,6,21,3.5,3.5
https://www.amazon.in/Coolpad-Mega-2-5D-Grey/dp/B01FM7GO8C/ref=sr_1_327?s=electronics&amp;ie=UTF8&amp;qid=1552750526&amp;sr=1-327&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,597,3.6,0,0,3.6,1000,64,24,1,1,27,6312,1,1,1-Jan-17,39,25,12,6,18,3.3,3.3
https://www.amazon.in/Coolpad-Mega-2-5D-Champagne-Gold/dp/B01FM7GJ00/ref=sr_1_554?s=electronics&amp;ie=UTF8&amp;qid=1552757689&amp;sr=1-554&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,637,3.6,0,0,3.6,1000,64,24,1,1,27,6312,1,1,23-Aug-16,39,25,12,6,18,3.3,3.3
https://www.amazon.in/Honor-Play-Ultra-Violet-Storage/dp/B07DJHWYMY/ref=sr_1_79?s=electronics&amp;ie=UTF8&amp;qid=1552739719&amp;sr=1-79&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,72,4.4,7000,32,4.2,935,89,6,1,1,954,6090,5,1,5,64,25,5,2,4,4.2,4
https://www.amazon.in/Honor-Play-Midnight-Black-Storage/dp/B077PWJLR2/ref=sr_1_57?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-57&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,47,4.4,7000,32,4.2,935,89,6,1,1,953,6090,5,1,5,64,25,5,2,4,4.2,4
https://www.amazon.in/Redmi-Black-3GB-32GB-Storage/dp/B077PWBC7J/ref=sr_1_149?s=electronics&amp;ie=UTF8&amp;qid=1552745405&amp;sr=1-149&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,180,4.2,0,0,4.1,9,83,10,1,1,24,5867,4,1,11,57,26,7,3,7,4.1,4
https://www.amazon.in/Moto-Plus-32GB-Lunar-Grey/dp/B06XRKQSY7/ref=sr_1_278?s=electronics&amp;ie=UTF8&amp;qid=1552748958&amp;sr=1-278&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,360,3.9,0,0,4,1000,72,19,1,1,13,4773,4,1,13-Jun-17,46,26,9,5,14,3.8,3.8
https://www.amazon.in/Moto-Plus-32GB-Fine-Gold/dp/B071ZZ8N5Y/ref=sr_1_320?s=electronics&amp;ie=UTF8&amp;qid=1552750526&amp;sr=1-320&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,479,3.9,0,0,4,1000,72,19,1,1,13,4773,4,1,13-Jun-17,46,26,9,5,14,3.8,3.8
